lat,lon,elevation,time
55.725493000,13.217793000,76.5,2016-07-21T14:59:36Z
55.725591000,13.217752000,76.6,2016-07-21T14:59:39Z
55.725672000,13.217770000,76.7,2016-07-21T14:59:42Z
55.725756000,13.217870000,76.8,2016-07-21T14:59:46Z
55.725848000,13.217909000,77.1,2016-07-21T14:59:49Z
55.725940000,13.217929000,77.4,2016-07-21T14:59:52Z
55.726027000,13.217913000,77.5,2016-07-21T14:59:55Z
55.726112000,13.217925000,77.7,2016-07-21T14:59:58Z
55.726197000,13.217945000,77.9,2016-07-21T15:00:02Z
55.726299000,13.217932000,78.1,2016-07-21T15:00:05Z
55.726401000,13.217925000,78.3,2016-07-21T15:00:10Z
55.726490000,13.217941000,78.5,2016-07-21T15:00:13Z
55.726594000,13.217932000,78.6,2016-07-21T15:00:16Z
55.726681000,13.217938000,78.8,2016-07-21T15:00:19Z
55.726793000,13.217905000,79.0,2016-07-21T15:00:22Z
55.726894000,13.217895000,79.0,2016-07-21T15:00:27Z
55.726932000,13.217756000,78.8,2016-07-21T15:00:31Z
55.726932000,13.217582000,78.6,2016-07-21T15:00:35Z
55.726923000,13.217420000,78.5,2016-07-21T15:00:39Z
55.726990000,13.217272000,78.3,2016-07-21T15:00:50Z
55.727079000,13.217294000,78.1,2016-07-21T15:00:52Z
55.727164000,13.217306000,77.9,2016-07-21T15:00:54Z
55.727214000,13.217162000,77.7,2016-07-21T15:00:59Z
55.727269000,13.217040000,77.5,2016-07-21T15:01:02Z
55.727319000,13.216925000,77.4,2016-07-21T15:01:05Z
55.727379000,13.216819000,77.2,2016-07-21T15:01:08Z
55.727446000,13.216688000,77.0,2016-07-21T15:01:11Z
55.727501000,13.216577000,77.1,2016-07-21T15:01:15Z
55.727597000,13.216485000,77.2,2016-07-21T15:01:19Z
55.727690000,13.216463000,77.3,2016-07-21T15:01:22Z
55.727801000,13.216465000,77.4,2016-07-21T15:01:25Z
55.727897000,13.216475000,77.5,2016-07-21T15:01:28Z
55.727980000,13.216466000,77.5,2016-07-21T15:01:32Z
55.728080000,13.216493000,77.6,2016-07-21T15:01:35Z
55.728182000,13.216467000,77.7,2016-07-21T15:01:39Z
55.728265000,13.216494000,77.8,2016-07-21T15:01:43Z
55.728362000,13.216559000,77.9,2016-07-21T15:01:47Z
55.728402000,13.216691000,77.8,2016-07-21T15:01:51Z
55.728487000,13.216749000,77.6,2016-07-21T15:01:55Z
55.728580000,13.216785000,77.5,2016-07-21T15:01:58Z
55.728676000,13.216810000,77.3,2016-07-21T15:02:02Z
55.728769000,13.216821000,77.1,2016-07-21T15:02:05Z
55.728886000,13.216819000,76.9,2016-07-21T15:02:09Z
55.728974000,13.216833000,76.7,2016-07-21T15:02:12Z
55.729080000,13.216788000,76.5,2016-07-21T15:02:16Z
55.729182000,13.216806000,76.4,2016-07-21T15:02:20Z
55.729244000,13.216920000,76.2,2016-07-21T15:02:23Z
55.729286000,13.217045000,76.0,2016-07-21T15:02:26Z
55.729332000,13.217170000,76.0,2016-07-21T15:02:29Z
55.729385000,13.217328000,76.0,2016-07-21T15:02:33Z
55.729427000,13.217203000,75.9,2016-07-21T15:02:38Z
55.729433000,13.217010000,75.8,2016-07-21T15:02:42Z
55.729450000,13.216826000,75.7,2016-07-21T15:02:47Z
55.729500000,13.216637000,75.6,2016-07-21T15:02:51Z
55.729531000,13.216497000,75.5,2016-07-21T15:02:54Z
55.729532000,13.216337000,75.5,2016-07-21T15:02:57Z
55.729566000,13.216184000,75.4,2016-07-21T15:03:01Z
55.729578000,13.216032000,75.3,2016-07-21T15:03:04Z
55.729587000,13.215883000,75.2,2016-07-21T15:03:08Z
55.729581000,13.215708000,75.1,2016-07-21T15:03:22Z
55.729578000,13.215515000,74.8,2016-07-21T15:03:25Z
55.729593000,13.215352000,74.6,2016-07-21T15:03:28Z
55.729593000,13.215198000,74.5,2016-07-21T15:03:31Z
55.729624000,13.215016000,74.3,2016-07-21T15:03:35Z
55.729622000,13.214860000,74.3,2016-07-21T15:03:38Z
55.729644000,13.214705000,74.3,2016-07-21T15:03:41Z
55.729656000,13.214539000,74.1,2016-07-21T15:03:45Z
55.729663000,13.214395000,73.9,2016-07-21T15:04:01Z
55.729670000,13.214245000,73.7,2016-07-21T15:04:04Z
55.729629000,13.214072000,73.5,2016-07-21T15:04:07Z
55.729635000,13.213914000,73.4,2016-07-21T15:04:10Z
55.729639000,13.213763000,73.4,2016-07-21T15:04:13Z
55.729725000,13.213644000,73.4,2016-07-21T15:04:17Z
55.729814000,13.213645000,73.4,2016-07-21T15:04:20Z
55.729932000,13.213657000,73.4,2016-07-21T15:04:24Z
55.730048000,13.213639000,73.1,2016-07-21T15:04:28Z
55.730144000,13.213628000,72.8,2016-07-21T15:04:31Z
55.730225000,13.213613000,72.7,2016-07-21T15:04:34Z
55.730320000,13.213598000,72.6,2016-07-21T15:04:38Z
55.730414000,13.213620000,72.5,2016-07-21T15:04:41Z
55.730495000,13.213665000,72.5,2016-07-21T15:04:45Z
55.730582000,13.213669000,72.4,2016-07-21T15:04:49Z
55.730683000,13.213691000,72.3,2016-07-21T15:04:53Z
55.730770000,13.213692000,72.2,2016-07-21T15:04:56Z
