Gene	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	Sample_7	Sample_8	Sample_9	Sample_10	Sample_11	Sample_12
ENSG00000000003	356.51801293114	359.115649857698	399.495113284016	436.307469917272	415.852363589178	441.365439143931	497.755913600782	445.33347941078	441.638673955175	696.338140459337	616.608599246799	773.877702173196
ENSG00000000419	773.011018691818	782.232108600926	924.322026813998	843.350414413265	880.144672827205	847.07740270242	934.616156920617	886.409468578628	781.209743262933	759.375066858814	640.137085270691	761.482725049252
ENSG00000000457	65.5282329063467	64.0008088855303	86.1656126691015	96.66161427029	66.7191704219999	81.1423927116977	79.4291351490609	106.437256073322	72.62502638374	79.1626517574825	93.302616991292	93.7706965028803
ENSG00000000460	443.148558129361	480.006066641478	462.161013406999	394.627691286964	414.93840235052	459.806892032953	418.326778451721	430.006514536222	390.604871631466	103.351239794491	136.302953517714	139.578220656586
ENSG00000001036	937.386924965366	957.641732953861	969.363142527392	944.446047686779	947.777804487862	1031.49193159264	957.121078546184	1077.99652951061	965.71656704865	765.238966988997	711.533870446636	769.566405782259
ENSG00000001084	594.196688218567	542.821675362461	567.909719864533	640.272344065591	633.375138389671	705.692930553249	537.470481175312	530.483284269438	534.87350512349	356.964920424944	361.851888505359	349.215007665899
ENSG00000001167	547.549471573371	526.228873058805	603.159288683711	453.156742129525	478.00172781789	430.300567410518	489.813000085876	493.017370131629	487.765379901605	466.913047865892	444.607253141113	473.164778905338
ENSG00000001460	166.597202304271	154.076021391092	152.748131549771	138.341392900599	148.06172066252	191.791110045831	133.705710834253	168.596613620142	132.491602186553	115.079040054859	129.001009579265	91.6150483074118
ENSG00000001461	545.328175542648	604.452083918898	538.535079181885	728.952724130077	687.298851470465	624.550537841552	726.776586613907	889.815460772974	735.083037316503	540.211799493191	636.08044974933	549.690289844471
ENSG00000001497	1261.69614545101	1244.4601727742	1290.52588065768	1205.16636507637	1264.00839306337	1261.39537760912	1114.65552992515	946.014331979688	1012.82469227054	478.64084812626	464.079103643644	421.429222214094
ENSG00000001617	244.342563379598	209.780429124794	193.872628505478	205.738481749608	195.587705072712	202.855981779244	170.772640570481	229.904473118376	211.005144223028	185.445841617065	163.888075062965	148.20081343846
ENSG00000001629	1097.32023917747	1085.64335072492	1133.86113035022	1033.12642775127	1139.70966460594	1090.50458083751	902.844502860992	1172.51281290372	986.326371833225	984.40223435462	1129.36732914677	1263.74875459342
ENSG00000001630	81.077305121412	78.2232108600926	74.4157563960422	60.3026584438507	52.0957906034794	60.2420794374725	21.1811027064162	40.0204082835692	30.4239975391343	28.5865131346465	35.6983925879726	18.3230096614824
ENSG00000001631	400.943933545613	388.745653971369	411.244969557076	407.929748296637	449.668929419507	445.053729721736	424.945873047476	499.829354520321	388.642033080554	414.137946694237	462.4564494351	448.913736706318
ENSG00000002016	42.2046245837487	42.6672059236869	39.1661875768643	56.7554432412712	40.2142945009315	59.012649244871	59.5718513617957	78.3378204699652	71.643607108284	87.2255144364853	110.340486181006	87.3037519164748
