	gene
1	ENSG00000104081
2	ENSG00000166046
3	ENSG00000150347
4	ENSG00000146278
5	ENSG00000156804
6	ENSG00000114796
7	ENSG00000105327
8	ENSG00000164463
9	ENSG00000137393
10	ENSG00000138764
11	ENSG00000090238
12	ENSG00000165879
13	ENSG00000164938
14	ENSG00000162616
15	ENSG00000141738
16	ENSG00000169242
17	ENSG00000170271
18	ENSG00000170577
19	ENSG00000128965
20	ENSG00000180592
21	ENSG00000113916
22	ENSG00000167183
23	ENSG00000148735
24	ENSG00000105856
25	ENSG00000177494
26	ENSG00000057657
27	ENSG00000105516
28	ENSG00000143434
29	ENSG00000182175
30	ENSG00000133639
31	ENSG00000168209
32	ENSG00000121858
33	ENSG00000168386
34	ENSG00000165272
35	ENSG00000152409
36	ENSG00000179674
37	ENSG00000227775
38	ENSG00000111859
39	ENSG00000197757
40	ENSG00000051108
41	ENSG00000047346
42	ENSG00000139112
43	ENSG00000100439
44	ENSG00000165312
45	ENSG00000215033
46	ENSG00000164442
47	ENSG00000178826
48	ENSG00000215020
49	ENSG00000185432
50	ENSG00000116761
51	ENSG00000140044
52	ENSG00000030419
53	ENSG00000163435
54	ENSG00000111981
55	ENSG00000136514
56	ENSG00000112406
57	ENSG00000134294
58	ENSG00000260912
59	ENSG00000070759
60	ENSG00000187266
61	ENSG00000245532
62	ENSG00000112983
63	ENSG00000223891
64	ENSG00000081189
65	ENSG00000160183
66	ENSG00000124766
67	ENSG00000151012
68	ENSG00000109618
69	ENSG00000157741
70	ENSG00000107968
71	ENSG00000163898
72	ENSG00000146411
73	ENSG00000168300
74	ENSG00000007944
75	ENSG00000181274
76	ENSG00000135821
77	ENSG00000124508
78	ENSG00000213347
79	ENSG00000130766
80	ENSG00000165861
81	ENSG00000196544
82	ENSG00000111276
83	ENSG00000145241
84	ENSG00000264207
85	ENSG00000185920
86	ENSG00000106541
87	ENSG00000106004
88	ENSG00000164920
89	ENSG00000238103
90	ENSG00000157514
91	ENSG00000177426
92	ENSG00000163050
93	ENSG00000139793
94	ENSG00000150593
95	ENSG00000228437
96	ENSG00000113595
97	ENSG00000153714
98	ENSG00000238206
99	ENSG00000163362
100	ENSG00000138735
101	ENSG00000120875
102	ENSG00000142627
103	ENSG00000139318
104	ENSG00000183691
105	ENSG00000120738
106	ENSG00000113070
107	ENSG00000175920
108	ENSG00000175592
109	ENSG00000168389
110	ENSG00000139289
111	ENSG00000120217
112	ENSG00000138166
113	ENSG00000131746
114	ENSG00000109321
115	ENSG00000128342
116	ENSG00000158050
117	ENSG00000173846
118	ENSG00000104689
119	ENSG00000181026
120	ENSG00000125740
121	ENSG00000137331
122	ENSG00000118523
123	ENSG00000148677
124	ENSG00000103044
125	ENSG00000124882
126	ENSG00000136997
127	ENSG00000179598
128	ENSG00000212724
129	ENSG00000172840
130	ENSG00000181649
131	ENSG00000247626
132	ENSG00000178726
133	ENSG00000107554
134	ENSG00000006432
135	ENSG00000260877
136	ENSG00000164086
137	ENSG00000116285
138	ENSG00000125398
139	ENSG00000106366
140	ENSG00000175556
141	ENSG00000134070
142	ENSG00000106526
143	ENSG00000185022
144	ENSG00000148841
145	ENSG00000261088
146	ENSG00000122861
147	ENSG00000130164
148	ENSG00000227473
149	ENSG00000140961
150	ENSG00000167173
151	ENSG00000196371
152	ENSG00000179041
153	ENSG00000169594
154	ENSG00000127528
155	ENSG00000171223
156	ENSG00000135763
157	ENSG00000134107
158	ENSG00000126603
159	ENSG00000138623
160	ENSG00000184675
161	ENSG00000144136
162	ENSG00000110092
163	ENSG00000170425
164	ENSG00000146112
165	ENSG00000160888
166	ENSG00000175591
167	ENSG00000114315
168	ENSG00000155090
169	ENSG00000166886
170	ENSG00000244165
171	ENSG00000050820
172	ENSG00000162377
173	ENSG00000148339
174	ENSG00000149798
175	ENSG00000104228
176	ENSG00000148426
177	ENSG00000196449
178	ENSG00000196756
179	ENSG00000169991
180	ENSG00000065802
181	ENSG00000052795
182	ENSG00000107815
183	ENSG00000148840
184	ENSG00000111641
185	ENSG00000129911
186	ENSG00000055483
187	ENSG00000175505
188	ENSG00000123545
189	ENSG00000122863
190	ENSG00000198142
191	ENSG00000101384
192	ENSG00000183579
193	ENSG00000005001
194	ENSG00000125630
195	ENSG00000164400
196	ENSG00000067082
197	ENSG00000154764
198	ENSG00000244405
199	ENSG00000163811
200	ENSG00000188522
